,Year,Location,CigaretteSmokingPrevalence,TobaccoSmokingPrevalence,TobaccoUsePrevalance,MostSoldBrandCigaretteCurrency,MostSoldBrandCigarettePrice,rates,MostSoldUSD,Lat,Lng
0,2018,Albania,43.3,50.5,50.5,All,240.0,0.00961,2.3064,41.153332,20.168331
1,2016,Albania,43.7,51.1,51.1,All,230.0,0.00961,2.2103,41.153332,20.168331
2,2014,Albania,44.3,51.7,51.7,All,200.0,0.00961,1.922,41.153332,20.168331
3,2012,Albania,44.9,52.3,52.3,All,170.0,0.00961,1.6337000000000002,41.153332,20.168331
4,2010,Albania,45.7,53.2,53.2,All,150.0,0.00961,1.4415,41.153332,20.168331
5,2008,Albania,46.8,54.4,54.4,All,130.0,0.00961,1.2493,41.153332,20.168331
6,2018,Algeria,11.1,14.5,18.8,DZD,300.0,0.00733,2.199,28.033886,1.659626
7,2016,Algeria,11.2,14.7,19.1,DZD,210.0,0.00733,1.5393,28.033886,1.659626
8,2014,Algeria,11.4,14.9,19.4,DZD,150.0,0.00733,1.0995,28.033886,1.659626
9,2012,Algeria,11.6,15.2,19.8,DZD,85.0,0.00733,0.62305,28.033886,1.659626
10,2010,Algeria,11.7,15.5,20.0,DZD,85.0,0.00733,0.62305,28.033886,1.659626
11,2008,Algeria,12.1,15.9,20.8,DZD,70.0,0.00733,0.5131,28.033886,1.659626
12,2018,Andorra,27.7,33.8,33.8,EUR,3.6,1.168889,4.2080004,42.506285,1.521801
13,2016,Andorra,27.9,33.9,33.9,EUR,3.5,1.168889,4.0911115,42.506285,1.521801
14,2014,Andorra,28.0,34.1,34.1,EUR,3.5,1.168889,4.0911115,42.506285,1.521801
15,2012,Andorra,28.3,34.5,34.5,EUR,3.1,1.168889,3.6235559,42.506285,1.521801
16,2010,Andorra,28.4,34.7,34.7,EUR,2.4,1.168889,2.8053336,42.506285,1.521801
17,2018,Austria,27.0,29.1,29.1,EUR,5.5,1.168889,6.4288895,47.516231,14.550072
18,2016,Austria,28.5,30.7,30.7,EUR,5.0,1.168889,5.844445,47.516231,14.550072
19,2014,Austria,30.1,32.5,32.5,EUR,4.9,1.168889,5.727556100000001,47.516231,14.550072
20,2012,Austria,31.9,34.2,34.2,EUR,4.5,1.168889,5.2600005,47.516231,14.550072
21,2010,Austria,33.8,36.1,36.1,EUR,4.0,1.168889,4.675556,47.516231,14.550072
22,2008,Austria,36.7,39.4,39.4,EUR,3.6,1.168889,4.2080004,47.516231,14.550072
23,2018,Belgium,23.4,25.0,25.0,EUR,6.6,1.168889,7.7146674,50.503887,4.469936
24,2016,Belgium,23.8,25.5,25.5,EUR,6.32,1.168889,7.387378480000001,50.503887,4.469936
25,2014,Belgium,24.2,25.9,25.9,EUR,5.79,1.168889,6.767867310000001,50.503887,4.469936
26,2012,Belgium,24.7,26.5,26.5,EUR,5.26,1.168889,6.14835614,50.503887,4.469936
27,2010,Belgium,25.2,27.0,27.0,EUR,4.84,1.168889,5.65742276,50.503887,4.469936
28,2008,Belgium,26.0,27.8,27.8,EUR,4.16,1.168889,4.86257824,50.503887,4.469936
29,2018,Cyprus,29.9,36.7,36.7,EUR,4.5,1.168889,5.2600005,35.126413,33.429859
30,2016,Cyprus,30.4,37.1,37.1,EUR,4.2,1.168889,4.909333800000001,35.126413,33.429859
31,2014,Cyprus,30.7,37.6,37.6,EUR,4.0,1.168889,4.675556,35.126413,33.429859
32,2012,Cyprus,31.3,38.3,38.3,EUR,3.75,1.168889,4.38333375,35.126413,33.429859
33,2010,Cyprus,31.6,38.8,38.8,EUR,2.82,1.168889,3.29626698,35.126413,33.429859
34,2008,Cyprus,32.5,40.0,40.0,EUR,2.82,1.168889,3.29626698,35.126413,33.429859
35,2018,Estonia,27.5,30.5,30.5,EUR,4.25,1.168889,4.96777825,58.595272,25.0136071
36,2016,Estonia,28.3,31.5,31.5,EUR,3.8,1.168889,4.4417782,58.595272,25.0136071
37,2014,Estonia,29.3,32.4,32.4,EUR,3.5,1.168889,4.0911115,58.595272,25.0136071
38,2012,Estonia,30.2,33.6,33.6,EUR,3.1,1.168889,3.6235559,58.595272,25.0136071
39,2018,Finland,17.3,19.7,19.7,EUR,7.22,1.168889,8.43937858,61.92410999999999,25.7481511
40,2016,Finland,18.1,20.4,20.4,EUR,6.12,1.168889,7.15360068,61.92410999999999,25.7481511
41,2014,Finland,18.9,21.3,21.3,EUR,5.47,1.168889,6.39382283,61.92410999999999,25.7481511
42,2012,Finland,19.7,22.3,22.3,EUR,4.89,1.168889,5.71586721,61.92410999999999,25.7481511
43,2010,Finland,20.6,23.4,23.4,EUR,4.32,1.168889,5.0496004800000005,61.92410999999999,25.7481511
44,2008,Finland,22.0,25.0,25.0,EUR,4.07,1.168889,4.7573782300000005,61.92410999999999,25.7481511
45,2018,France,31.5,34.6,34.6,EUR,8.0,1.168889,9.351112,46.227638,2.213749
46,2016,France,31.5,34.6,34.6,EUR,7.0,1.168889,8.182223,46.227638,2.213749
47,2014,France,31.5,34.6,34.6,EUR,7.0,1.168889,8.182223,46.227638,2.213749
48,2012,France,31.4,34.5,34.5,EUR,6.2,1.168889,7.247111800000001,46.227638,2.213749
49,2010,France,31.4,34.5,34.5,EUR,5.6,1.168889,6.5457784,46.227638,2.213749
50,2008,France,31.4,34.5,34.5,EUR,5.3,1.168889,6.1951117,46.227638,2.213749
51,2018,Germany,26.0,28.0,28.0,EUR,6.4,1.168889,7.480889600000001,51.165691,10.451526
52,2016,Germany,26.5,28.6,28.6,EUR,6.0,1.168889,7.013334,51.165691,10.451526
53,2014,Germany,27.1,29.1,29.1,EUR,5.47,1.168889,6.39382283,51.165691,10.451526
54,2012,Germany,27.7,29.7,29.7,EUR,5.26,1.168889,6.14835614,51.165691,10.451526
55,2010,Germany,28.1,30.3,30.3,EUR,4.95,1.168889,5.786000550000001,51.165691,10.451526
56,2008,Germany,28.9,31.2,31.2,EUR,4.71,1.168889,5.50546719,51.165691,10.451526
57,2018,Greece,35.6,39.1,39.1,EUR,4.6,1.168889,5.3768894,39.074208,21.824312
58,2016,Greece,36.5,40.2,40.2,EUR,4.0,1.168889,4.675556,39.074208,21.824312
59,2014,Greece,37.4,41.2,41.2,EUR,4.0,1.168889,4.675556,39.074208,21.824312
60,2012,Greece,38.3,42.1,42.1,EUR,3.7,1.168889,4.324889300000001,39.074208,21.824312
61,2010,Greece,39.4,43.4,43.4,EUR,3.2,1.168889,3.740444800000001,39.074208,21.824312
62,2008,Greece,41.1,45.3,45.3,EUR,3.0,1.168889,3.506667,39.074208,21.824312
63,2018,Ireland,21.1,23.6,23.6,EUR,12.2,1.168889,14.2604458,53.41291,-8.24389
64,2016,Ireland,22.1,24.6,24.6,EUR,10.8,1.168889,12.624001200000002,53.41291,-8.24389
65,2014,Ireland,23.0,25.9,25.9,EUR,9.6,1.168889,11.2213344,53.41291,-8.24389
66,2012,Ireland,24.1,26.9,26.9,EUR,9.1,1.168889,10.6368899,53.41291,-8.24389
67,2010,Ireland,25.1,28.2,28.2,EUR,8.55,1.168889,9.994000950000002,53.41291,-8.24389
68,2008,Ireland,26.9,30.2,30.2,EUR,8.05,1.168889,9.409556450000002,53.41291,-8.24389
69,2018,Italy,22.8,23.4,23.4,EUR,5.5,1.168889,6.4288895,41.87194,12.56738
70,2016,Italy,23.1,23.6,23.6,EUR,5.2,1.168889,6.078222800000001,41.87194,12.56738
71,2014,Italy,23.3,24.0,24.0,EUR,5.0,1.168889,5.844445,41.87194,12.56738
72,2012,Italy,23.6,24.3,24.3,EUR,5.0,1.168889,5.844445,41.87194,12.56738
73,2010,Italy,23.9,24.7,24.7,EUR,3.7,1.168889,4.324889300000001,41.87194,12.56738
74,2008,Italy,24.5,25.1,25.1,EUR,3.6,1.168889,4.2080004,41.87194,12.56738
75,2018,Latvia,32.4,36.7,36.7,EUR,3.5,1.168889,4.0911115,56.879635,24.603189
76,2016,Latvia,32.8,37.1,37.1,EUR,3.0,1.168889,3.506667,56.879635,24.603189
77,2014,Latvia,33.3,37.5,37.5,EUR,3.0,1.168889,3.506667,56.879635,24.603189
78,2018,Lithuania,24.7,27.1,27.1,EUR,3.75,1.168889,4.38333375,55.169438,23.881275
79,2016,Lithuania,25.4,28.0,28.0,EUR,3.1,1.168889,3.6235559,55.169438,23.881275
80,2018,Luxembourg,19.8,21.7,21.7,EUR,5.3,1.168889,6.1951117,49.815273,6.129582999999999
81,2016,Luxembourg,20.4,22.5,22.5,EUR,5.2,1.168889,6.078222800000001,49.815273,6.129582999999999
82,2014,Luxembourg,21.1,23.3,23.3,EUR,5.0,1.168889,5.844445,49.815273,6.129582999999999
83,2012,Luxembourg,21.9,24.0,24.0,EUR,4.6,1.168889,5.3768894,49.815273,6.129582999999999
84,2010,Luxembourg,22.7,24.9,24.9,EUR,3.68,1.168889,4.30151152,49.815273,6.129582999999999
85,2008,Luxembourg,23.9,26.2,26.2,EUR,3.2,1.168889,3.740444800000001,49.815273,6.129582999999999
86,2018,Malta,22.4,25.1,25.1,EUR,5.5,1.168889,6.4288895,35.937496,14.375416
87,2016,Malta,23.1,25.9,25.9,EUR,5.3,1.168889,6.1951117,35.937496,14.375416
88,2014,Malta,23.8,26.8,26.8,EUR,4.8,1.168889,5.6106672,35.937496,14.375416
89,2012,Malta,24.7,27.8,27.8,EUR,4.2,1.168889,4.909333800000001,35.937496,14.375416
90,2010,Malta,25.5,28.6,28.6,EUR,4.0,1.168889,4.675556,35.937496,14.375416
91,2008,Malta,26.9,30.1,30.1,EUR,3.59,1.168889,4.19631151,35.937496,14.375416
92,2018,Netherlands,20.1,23.4,23.4,EUR,7.0,1.168889,8.182223,52.132633,5.291265999999999
93,2016,Netherlands,20.8,24.3,24.3,EUR,6.63,1.168889,7.749734070000001,52.132633,5.291265999999999
94,2014,Netherlands,21.5,25.1,25.1,EUR,6.32,1.168889,7.387378480000001,52.132633,5.291265999999999
95,2012,Netherlands,22.3,26.1,26.1,EUR,5.68,1.168889,6.63928952,52.132633,5.291265999999999
96,2010,Netherlands,23.1,27.0,27.0,EUR,5.05,1.168889,5.90288945,52.132633,5.291265999999999
97,2008,Netherlands,24.3,28.4,28.4,EUR,4.74,1.168889,5.540533860000001,52.132633,5.291265999999999
98,2018,Portugal,24.8,27.9,27.9,EUR,5.0,1.168889,5.844445,39.39987199999999,-8.224454
99,2016,Portugal,24.5,27.5,27.5,EUR,4.8,1.168889,5.6106672,39.39987199999999,-8.224454
100,2014,Portugal,24.2,27.1,27.1,EUR,4.5,1.168889,5.2600005,39.39987199999999,-8.224454
101,2012,Portugal,23.8,26.8,26.8,EUR,4.2,1.168889,4.909333800000001,39.39987199999999,-8.224454
102,2010,Portugal,23.5,26.4,26.4,EUR,3.5,1.168889,4.0911115,39.39987199999999,-8.224454
103,2008,Portugal,23.1,26.1,26.1,EUR,3.3,1.168889,3.8573337,39.39987199999999,-8.224454
104,2018,Slovakia,27.0,32.3,32.3,EUR,3.3,1.168889,3.8573337,48.669026,19.699024
105,2016,Slovakia,27.0,32.1,32.1,EUR,3.1,1.168889,3.6235559,48.669026,19.699024
106,2014,Slovakia,26.9,32.1,32.1,EUR,2.84,1.168889,3.31964476,48.669026,19.699024
107,2012,Slovakia,26.8,32.0,32.0,EUR,2.74,1.168889,3.2027558600000003,48.669026,19.699024
108,2010,Slovakia,26.9,31.9,31.9,EUR,2.42,1.168889,2.82871138,48.669026,19.699024
109,2008,Slovakia,26.8,31.9,31.9,EUR,2.1,1.168889,2.4546669000000003,48.669026,19.699024
110,2018,Slovenia,20.9,22.7,22.7,EUR,3.7,1.168889,4.324889300000001,46.151241,14.995463
111,2016,Slovenia,21.2,23.0,23.0,EUR,3.5,1.168889,4.0911115,46.151241,14.995463
112,2014,Slovenia,21.5,23.3,23.3,EUR,3.45,1.168889,4.032667050000001,46.151241,14.995463
113,2012,Slovenia,21.8,23.5,23.5,EUR,2.9,1.168889,3.3897781,46.151241,14.995463
114,2010,Slovenia,22.0,23.8,23.8,EUR,2.5,1.168889,2.9222225,46.151241,14.995463
115,2008,Slovenia,22.4,24.3,24.3,EUR,2.2,1.168889,2.5715558000000005,46.151241,14.995463
116,2018,Spain,25.9,27.9,27.9,EUR,5.0,1.168889,5.844445,40.46366700000001,-3.74922
117,2016,Spain,26.7,28.8,28.8,EUR,4.85,1.168889,5.66911165,40.46366700000001,-3.74922
118,2014,Spain,27.8,29.6,29.6,EUR,4.8,1.168889,5.6106672,40.46366700000001,-3.74922
119,2012,Spain,28.5,30.6,30.6,EUR,4.5,1.168889,5.2600005,40.46366700000001,-3.74922
120,2010,Spain,29.5,31.6,31.6,EUR,3.4,1.168889,3.9742226,40.46366700000001,-3.74922
121,2008,Spain,31.0,33.3,33.3,EUR,2.5,1.168889,2.9222225,40.46366700000001,-3.74922
122,2018,Argentina,19.2,21.1,21.8,ARS,60.0,0.010153,0.60918,-38.416097,-63.61667199999999
123,2016,Argentina,20.5,22.7,23.6,ARS,40.0,0.010153,0.40612,-38.416097,-63.61667199999999
124,2014,Argentina,21.9,24.2,25.6,ARS,14.5,0.010153,0.1472185,-38.416097,-63.61667199999999
125,2012,Argentina,23.6,26.0,27.8,ARS,8.0,0.010153,0.081224,-38.416097,-63.61667199999999
126,2010,Argentina,25.3,28.0,30.1,ARS,5.38,0.010153,0.05462314,-38.416097,-63.61667199999999
127,2008,Argentina,28.3,31.2,34.1,ARS,3.8,0.010153,0.0385814,-38.416097,-63.61667199999999
128,2018,Armenia,25.0,26.7,26.7,AMD,680.0,0.002035,1.3838,40.069099,45.038189
129,2016,Armenia,25.8,27.5,27.5,AMD,600.0,0.002035,1.221,40.069099,45.038189
130,2014,Armenia,26.6,28.3,28.3,AMD,600.0,0.002035,1.221,40.069099,45.038189
131,2012,Armenia,27.3,29.1,29.1,AMD,600.0,0.002035,1.221,40.069099,45.038189
132,2010,Armenia,28.2,30.0,30.0,AMD,550.0,0.002035,1.11925,40.069099,45.038189
133,2008,Armenia,29.2,31.3,31.3,AMD,500.0,0.002035,1.0174999999999998,40.069099,45.038189
134,2018,Australia,12.9,14.1,16.2,AUD,20.75,0.724257,15.02833275,-25.274398,133.775136
135,2016,Australia,12.2,14.9,17.1,AUD,21.0,0.724257,15.209397,-25.274398,133.775136
136,2014,Australia,12.9,15.8,18.2,AUD,17.05,0.724257,12.34858185,-25.274398,133.775136
137,2012,Australia,13.7,16.8,19.3,AUD,13.63,0.724257,9.87162291,-25.274398,133.775136
138,2010,Australia,14.7,17.9,20.4,AUD,11.98,0.724257,8.67659886,-25.274398,133.775136
139,2008,Australia,16.1,19.7,22.4,AUD,9.6,0.724257,6.9528672,-25.274398,133.775136
140,2018,Kiribati,41.7,52.0,52.0,AUD,6.0,0.724257,4.345542,-3.370417,-168.734039
141,2016,Kiribati,43.0,53.5,53.5,AUD,6.0,0.724257,4.345542,-3.370417,-168.734039
142,2014,Kiribati,44.2,55.2,55.2,AUD,4.8,0.724257,3.4764336,-3.370417,-168.734039
143,2012,Kiribati,45.5,56.7,56.7,AUD,4.8,0.724257,3.4764336,-3.370417,-168.734039
144,2010,Kiribati,46.9,58.1,58.1,AUD,6.4,0.724257,4.635244800000001,-3.370417,-168.734039
145,2008,Kiribati,49.3,61.2,61.2,AUD,6.4,0.724257,4.635244800000001,-3.370417,-168.734039
146,2018,Nauru,37.6,46.0,52.1,AUD,13.0,0.724257,9.415341,-0.522778,166.931503
147,2016,Nauru,38.7,47.4,53.9,AUD,11.0,0.724257,7.966827,-0.522778,166.931503
148,2010,Nauru,41.7,51.1,59.5,AUD,4.96,0.724257,3.59231472,-0.522778,166.931503
149,2008,Nauru,43.4,53.3,62.8,AUD,4.4,0.724257,3.1867308000000003,-0.522778,166.931503
150,2018,Tuvalu,30.6,37.4,48.7,AUD,6.0,0.724257,4.345542,-7.109534999999999,177.64933
151,2016,Tuvalu,31.4,38.4,50.0,AUD,3.5,0.724257,2.5348995000000003,-7.109534999999999,177.64933
152,2014,Tuvalu,32.2,39.4,51.4,AUD,2.5,0.724257,1.8106425,-7.109534999999999,177.64933
153,2012,Tuvalu,33.1,40.8,52.9,AUD,6.0,0.724257,4.345542,-7.109534999999999,177.64933
154,2010,Tuvalu,34.0,41.7,54.4,AUD,6.0,0.724257,4.345542,-7.109534999999999,177.64933
155,2008,Tuvalu,35.4,43.6,56.7,AUD,4.5,0.724257,3.2591565,-7.109534999999999,177.64933
156,2018,Azerbaijan,15.6,19.6,19.6,AZN,1.2,0.588322,0.7059864,40.143105,47.576927
157,2016,Azerbaijan,16.3,20.3,20.3,AZN,2.8,0.588322,1.6473016,40.143105,47.576927
158,2014,Azerbaijan,16.8,21.1,21.1,AZN,1.4,0.588322,0.8236508,40.143105,47.576927
159,2012,Azerbaijan,17.5,21.9,21.9,AZN,1.1,0.588322,0.6471542,40.143105,47.576927
160,2010,Azerbaijan,18.2,22.8,22.8,AZN,0.7,0.588322,0.4118254,40.143105,47.576927
161,2008,Azerbaijan,19.3,24.2,24.2,AZN,0.7,0.588322,0.4118254,40.143105,47.576927
162,2018,Bangladesh,17.7,20.9,39.1,BDT,80.0,0.011682,0.93456,23.684994,90.356331
163,2016,Bangladesh,18.5,21.7,40.1,BDT,50.0,0.011682,0.5841,23.684994,90.356331
164,2014,Bangladesh,19.1,22.6,41.1,BDT,30.0,0.011682,0.35046,23.684994,90.356331
165,2012,Bangladesh,19.9,23.4,42.3,BDT,28.0,0.011682,0.327096,23.684994,90.356331
166,2010,Bangladesh,20.7,24.5,43.5,BDT,17.0,0.011682,0.198594,23.684994,90.356331
167,2008,Bangladesh,22.0,3.0,45.5,BDT,15.0,0.011682,0.17523,23.684994,90.356331
168,2018,Barbados,10.1,2.0,2.3,BBD,14.65,0.500221,7.32823765,13.193887,-59.543198
169,2016,Barbados,10.2,2.1,2.4,BBD,15.0,0.500221,7.503315000000001,13.193887,-59.543198
170,2014,Barbados,10.3,2.2,2.4,BBD,13.85,0.500221,6.9280608500000005,13.193887,-59.543198
171,2012,Barbados,10.5,2.3,2.5,BBD,11.29,0.500221,5.64749509,13.193887,-59.543198
172,2010,Barbados,10.7,2.4,2.6,BBD,11.0,0.500221,5.5024310000000005,13.193887,-59.543198
173,2008,Barbados,2.0,2.6,2.7,BBD,11.0,0.500221,5.5024310000000005,13.193887,-59.543198
174,2018,Belarus,39.9,26.6,26.6,BYN,1.1,0.401164,0.4412804000000001,53.709807,27.953389
175,2018,Benin,4.1,11.3,12.4,XOF,500.0,0.001782,0.891,9.30769,2.315834
176,2016,Benin,4.3,11.8,2.2,XOF,500.0,0.001782,0.891,9.30769,2.315834
177,2014,Benin,4.5,12.4,2.5,XOF,500.0,0.001782,0.891,9.30769,2.315834
178,2012,Benin,4.7,13.0,2.8,XOF,500.0,0.001782,0.891,9.30769,2.315834
179,2010,Benin,5.0,13.6,17.6,XOF,500.0,0.001782,0.891,9.30769,2.315834
180,2008,Benin,10.4,14.5,20.2,XOF,500.0,0.001782,0.891,9.30769,2.315834
181,2018,Burkina Faso,10.0,12.3,24.9,XOF,750.0,0.001782,1.3365,12.238333,-1.561593
182,2016,Burkina Faso,10.1,2.1,25.6,XOF,650.0,0.001782,1.1583,12.238333,-1.561593
183,2014,Burkina Faso,10.4,2.5,26.5,XOF,500.0,0.001782,0.891,12.238333,-1.561593
184,2012,Burkina Faso,10.6,2.9,19.1,XOF,500.0,0.001782,0.891,12.238333,-1.561593
185,2010,Burkina Faso,10.8,24.4,20.4,XOF,500.0,0.001782,0.891,12.238333,-1.561593
186,2008,Burkina Faso,11.2,25.2,22.7,XOF,500.0,0.001782,0.891,12.238333,-1.561593
187,2018,Côte d’Ivoire,10.1,12.4,13.0,XOF,700.0,0.001782,1.2474,7.539988999999999,-5.547079999999999
188,2016,Côte d’Ivoire,10.5,12.8,13.4,XOF,700.0,0.001782,1.2474,7.539988999999999,-5.547079999999999
189,2014,Côte d’Ivoire,10.9,13.4,2.1,XOF,700.0,0.001782,1.2474,7.539988999999999,-5.547079999999999
190,2012,Côte d’Ivoire,11.4,13.9,2.4,XOF,700.0,0.001782,1.2474,7.539988999999999,-5.547079999999999
191,2010,Côte d’Ivoire,11.8,14.5,2.7,XOF,700.0,0.001782,1.2474,7.539988999999999,-5.547079999999999
192,2008,Côte d’Ivoire,12.6,15.5,3.4,XOF,700.0,0.001782,1.2474,7.539988999999999,-5.547079999999999
193,2018,Mali,18.1,12.0,12.0,XOF,800.0,0.001782,1.4256,17.570692,-3.996166
194,2016,Mali,18.0,12.1,12.1,XOF,800.0,0.001782,1.4256,17.570692,-3.996166
195,2014,Mali,18.0,12.1,12.1,XOF,700.0,0.001782,1.2474,17.570692,-3.996166
196,2012,Mali,18.1,2.1,2.1,XOF,700.0,0.001782,1.2474,17.570692,-3.996166
197,2010,Mali,18.1,2.3,2.3,XOF,700.0,0.001782,1.2474,17.570692,-3.996166
198,2008,Mali,18.2,2.6,2.6,XOF,700.0,0.001782,1.2474,17.570692,-3.996166
199,2018,Niger,12.6,14.3,16.3,XOF,500.0,0.001782,0.891,17.607789,8.081666
200,2016,Niger,12.2,14.0,15.9,XOF,500.0,0.001782,0.891,17.607789,8.081666
201,2014,Niger,11.9,13.8,15.7,XOF,500.0,0.001782,0.891,17.607789,8.081666
202,2012,Niger,11.6,13.5,15.4,XOF,400.0,0.001782,0.7128,17.607789,8.081666
203,2010,Niger,11.3,13.2,15.0,XOF,400.0,0.001782,0.7128,17.607789,8.081666
204,2008,Niger,10.9,12.8,14.5,XOF,400.0,0.001782,0.7128,17.607789,8.081666
205,2018,Senegal,12.5,14.5,17.4,XOF,700.0,0.001782,1.2474,14.497401,-14.452362
206,2016,Senegal,13.0,15.1,18.2,XOF,500.0,0.001782,0.891,14.497401,-14.452362
207,2014,Senegal,13.6,15.8,10.0,XOF,500.0,0.001782,0.891,14.497401,-14.452362
208,2012,Senegal,14.1,16.4,10.6,XOF,400.0,0.001782,0.7128,14.497401,-14.452362
209,2010,Senegal,14.8,17.1,11.2,XOF,400.0,0.001782,0.7128,14.497401,-14.452362
210,2008,Senegal,15.8,18.3,12.1,XOF,400.0,0.001782,0.7128,14.497401,-14.452362
211,2018,Togo,10.2,13.5,13.5,XOF,600.0,0.001782,1.0692,8.619543,0.824782
212,2016,Togo,10.5,13.9,14.0,XOF,500.0,0.001782,0.891,8.619543,0.824782
213,2014,Togo,10.9,14.4,2.1,XOF,400.0,0.001782,0.7128,8.619543,0.824782
214,2012,Togo,11.2,14.9,2.4,XOF,400.0,0.001782,0.7128,8.619543,0.824782
215,2010,Togo,11.6,15.3,2.7,XOF,380.0,0.001782,0.67716,8.619543,0.824782
216,2008,Togo,12.2,16.1,3.3,XOF,350.0,0.001782,0.6237,8.619543,0.824782
217,2018,Bosnia and Herzegovina,30.9,38.3,38.3,BAM,5.5,0.597667,3.2871685,43.915886,17.679076
218,2016,Bosnia and Herzegovina,31.5,39.1,39.1,BAM,4.5,0.597667,2.6895014999999995,43.915886,17.679076
219,2014,Bosnia and Herzegovina,32.3,39.7,39.7,BAM,3.7,0.597667,2.2113679,43.915886,17.679076
220,2012,Bosnia and Herzegovina,32.9,40.6,40.6,BAM,2.8,0.597667,1.6734675999999995,43.915886,17.679076
221,2010,Bosnia and Herzegovina,33.6,41.4,41.4,BAM,2.3,0.597667,1.3746340999999995,43.915886,17.679076
222,2008,Bosnia and Herzegovina,34.7,42.8,42.8,BAM,2.0,0.597667,1.195334,43.915886,17.679076
223,2018,Brazil,15.3,17.2,16.5,BRL,5.0,0.184339,0.921695,-14.235004,-51.92528
224,2016,Brazil,16.2,14.2,17.8,BRL,6.24,0.184339,1.15027536,-14.235004,-51.92528
